cod_dpto,dpto_nombre,cod_mun,mun_nombre,ano,mes,total_terrorismo
05,ANTIOQUIA,05154,CAUCASIA,2011,8,2
05,ANTIOQUIA,05154,CAUCASIA,2011,10,1
05,ANTIOQUIA,05154,CAUCASIA,2013,3,3
05,ANTIOQUIA,05154,CAUCASIA,2013,4,1
05,ANTIOQUIA,05154,CAUCASIA,2013,7,4
05,ANTIOQUIA,05154,CAUCASIA,2013,8,1
05,ANTIOQUIA,05154,CAUCASIA,2014,7,1
05,ANTIOQUIA,05154,CAUCASIA,2015,2,1
05,ANTIOQUIA,05154,CAUCASIA,2016,3,3
05,ANTIOQUIA,05154,CAUCASIA,2016,11,1
05,ANTIOQUIA,05154,CAUCASIA,2017,5,4
05,ANTIOQUIA,05154,CAUCASIA,2017,12,3
05,ANTIOQUIA,05154,CAUCASIA,2018,4,1
05,ANTIOQUIA,05154,CAUCASIA,2018,5,2
05,ANTIOQUIA,05154,CAUCASIA,2018,8,3
05,ANTIOQUIA,05154,CAUCASIA,2018,9,1
05,ANTIOQUIA,05154,CAUCASIA,2018,10,1
