COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
25,CUNDINAMARCA,25662,SAN JUAN DE RIOSECO,2023,1.0,1.0,0.0,0.0,25,25662,9388,1.0,1.0,1.0
25,CUNDINAMARCA,25718,SASAIMA,2019,3.0,1.0,0.0,0.0,25,25718,11139,1.0,1.0,0.0
25,CUNDINAMARCA,25718,SASAIMA,2020,3.0,1.0,0.0,0.0,25,25718,11469,1.0,1.0,0.0
25,CUNDINAMARCA,25718,SASAIMA,2021,2.0,1.0,0.0,0.0,25,25718,11721,1.0,1.0,1.0
25,CUNDINAMARCA,25718,SASAIMA,2023,1.0,1.0,0.0,0.0,25,25718,12518,1.0,1.0,1.0
25,CUNDINAMARCA,25736,SESQUILE,2019,2.0,1.0,0.0,0.0,25,25736,11937,1.0,1.0,0.0
25,CUNDINAMARCA,25736,SESQUILE,2023,1.0,1.0,0.0,0.0,25,25736,13506,1.0,1.0,1.0
25,CUNDINAMARCA,25736,SESQUILE,2024,2.0,1.0,0.0,0.0,25,25736,13929,0.0,0.0,0.0
25,CUNDINAMARCA,25740,SIBATE,2018,4.0,1.0,0.0,0.0,25,25740,33491,1.0,1.0,0.0
25,CUNDINAMARCA,25740,SIBATE,2019,7.0,1.0,1.0,1.0,25,25740,34982,1.0,1.0,0.0
25,CUNDINAMARCA,25740,SIBATE,2020,4.0,1.0,0.0,0.0,25,25740,36204,1.0,1.0,0.0
25,CUNDINAMARCA,25740,SIBATE,2021,3.0,1.0,0.0,0.0,25,25740,37259,1.0,1.0,1.0
25,CUNDINAMARCA,25740,SIBATE,2022,6.0,1.0,0.0,0.0,25,25740,38444,1.0,1.0,1.0
