COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,CANTIDAD_SUBVERSIVAS,COD_DPTO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
50,META,50124,CABUYARO,2016.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50124,CABUYARO,2017.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50124,CABUYARO,2018.0,2.0,0.0,50.0,6062.0,1.0,1.0,0.0
50,META,50124,CABUYARO,2019.0,4.0,0.0,50.0,6190.0,1.0,1.0,0.0
50,META,50124,CABUYARO,2020.0,6.0,0.0,50.0,6297.0,1.0,1.0,0.0
50,META,50124,CABUYARO,2022.0,5.0,0.0,50.0,6479.0,1.0,1.0,1.0
50,META,50124,CABUYARO,2023.0,1.0,0.0,50.0,6554.0,1.0,1.0,1.0
50,META,50150,CASTILLA LA NUEVA,1998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2005.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2011.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2012.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2013.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2014.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2015.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2016.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,META,50150,CASTILLA LA NUEVA,2018.0,3.0,0.0,50.0,14300.0,1.0,1.0,0.0
50,META,50150,CASTILLA LA NUEVA,2019.0,2.0,0.0,50.0,14640.0,1.0,1.0,0.0
50,META,50150,CASTILLA LA NUEVA,2020.0,5.0,0.0,50.0,14966.0,1.0,1.0,0.0
50,META,50150,CASTILLA LA NUEVA,2021.0,1.0,0.0,50.0,15232.0,1.0,1.0,1.0
